Demo,Cohort,GROUP,atta,cab1,cab2,cab3,SCIALL,age,sex,NATIONALITY,YEARS EXPERIENCE,CAT,VOCATIONAL,YEARS VOCATIONAL,CLASSICAL,CONTEMPORARY,SOMATIC,IMPRO,TASKING,INVENTION,,ATTATOT,ATTAIND,ATTAC,ATTAL,Cab1No,Cab1Fs,Cab1Fi,Cab1o,Cab1Tot,Cab2No,Cab2Fs,Cab2Fi,Cab2o,Cab2Tot,Cab3No,Cab3Fs,Cab3Fi,Cab3o,Cab3Tot,SCIVall,SCISall,SCIMall,SCIVten,SCISten,SCIMten
220,1,TL2,1,1,1,1,0,20.20273973,M,BRITISH,4,y,Y,2,6,5,4,4,3,4,,64,15,79,6,2,5,15,10,45,3,8,9,16,57,4,7,6,11,42,,,,,,
34,1,TL2,1,1,1,1,1,22.68767123,F,GREEK,7,N,N,0,6,7,1,6,6,1,,62,3,65,3,2,4,4,1,14,3,4,7,4,23,4,4,1,3,15,8,9,11,0,0,0
199,2,TL4,1,1,1,1,1,21.00273973,F,ITALIAN,10,N,Y,1,8,6,6,5,7,4,,67,7,74,5,2,5,12,5,32,3,5,12,6,34,4,6,8,7,34,3,9,6,0,0,0
17,2,TL4,1,1,1,1,1,22.67123288,M,ITALIAN,4,N,N,0,1,5,7,6,5,3,,57,6,63,3,2,3,4,1,12,3,3,5,0,11,4,4,6,3,20,5,8,13,0,0,0
115,2,TL4,1,1,1,1,1,18.83013699,F,BRITISH,6,y,N,0,7,9,1,4,6,6,,62,6,68,4,2,7,7,9,39,3,4,11,8,35,4,4,7,12,39,6,12,12,0,0,0
185,2,TL4,1,1,1,1,1,19.24383562,F,AMERICAN,7,N,Y,1,7,5,2,9,7,4,,65,15,80,6,2,7,6,4,28,3,6,7,8,35,4,8,18,7,48,8,9,7,0,0,0
68,2,TL4,1,1,1,1,1,18.65753425,F,BRITISH,13,N,N,0,9,7,1,3,3,1,,60,8,68,4,2,5,8,11,40,3,6,8,9,38,4,5,9,7,33,9,9,8,0,0,0
211,2,TL4,1,1,1,1,1,18.49041096,F,FRENCH,15,N,Y,6,6,3,3,6,5,2,,57,8,65,3,2,5,2,3,18,3,5,6,5,26,4,6,13,2,29,7,12,8,0,0,0
171,2,TL4,1,1,1,1,1,19.56712329,F,BRITISH,5,N,Y,2,9,5,3,5,5,1,,66,11,77,5,2,7,11,2,29,3,7,7,3,27,4,2,11,3,21,8,11,10,0,0,0
140,2,TL4,1,1,1,1,1,19.15068493,F,BRITISH,14,y,N,0,9,7,2,3,2,4,,69,13,82,6,2,5,10,6,32,3,6,10,11,44,4,7,16,8,46,5,10,12,0,0,0
164,2,TL4,1,1,1,1,1,21.89041096,M,BRITISH,3,N,Y,3,6,7,6,9,8,6,,66,4,70,4,2,7,10,5,34,3,8,15,7,45,4,5,13,8,39,6,9,11,0,0,0
50,2,TL4,1,1,1,1,1,18.53424658,F,BRITISH,10,N,N,0,9,3,1,9,7,7,,73,13,86,7,2,9,15,14,61,3,11,8,15,60,4,8,11,13,53,9,11,12,0,0,0
207,2,TL4,1,1,1,1,1,19.69589041,F,BRITISH,14,N,Y,1,9,4,1,1,1,1,,62,4,66,3,2,4,8,8,32,3,6,9,3,27,4,5,10,6,32,6,11,6,0,0,0
202,2,TL4,1,1,1,1,1,18.35890411,M,BRITISH,10,N,Y,2,8,9,1,8,8,6,,53,4,57,2,2,4,7,5,25,3,4,7,6,27,4,4,9,4,25,5,6,10,0,0,0
167,2,TL4,1,1,1,1,1,19.43835616,F,BRITISH,4,N,Y,1,2,3,1,9,1,5,,61,13,74,5,2,5,6,5,26,3,3,15,8,37,4,6,16,7,42,5,6,11,0,0,0
101,1,TL3,1,1,0,1,0,20.09589041,F,BRITISH,5,y,N,0,8,9,2,6,6,3,,75,10,85,7,3,5,17,5,37,,,,,,4,7,20,6,46,,,,,,
64,1,TL4,1,1,0,1,1,20.04931507,F,BRITISH,13,N,N,0,7,6,1,4,5,3,,66,12,78,6,4,5,16,6,38,,,,,,4,6,19,8,47,5,,,0,0,0
69,1,TL3,1,1,1,1,0,20.25479452,F,BRITISH,14,N,N,0,7,2,1,6,7,2,,70,14,84,6,3,3,8,3,20,4,4,10,5,28,5,4,11,7,33,,,,,,
175,1,TL3,1,1,1,1,0,19.83287671,M,BRITISH,5,N,Y,0,5,5,2,6,4,3,,56,11,67,3,3,1,8,3,16,4,4,5,4,21,5,4,4,4,20,,,,,,
179,1,TL3,1,1,1,1,0,21.99452055,F,IRISH,6,N,Y,2,7,3,1,8,8,1,,63,16,79,6,3,3,11,3,23,4,3,12,3,24,5,6,8,4,28,,,,,,
55,1,TL3,1,1,1,1,1,19.49315068,F,BRITISH,11,N,N,0,9,9,5,6,6,3,,62,10,72,4,3,4,5,3,19,4,3,10,6,28,5,4,9,3,23,8,10,12,0,0,0
92,1,TL3,1,1,1,1,0,20.56712329,M,BRITISH,3,y,N,0,6,8,1,6,8,1,,61,5,66,3,3,3,10,2,20,4,3,7,3,19,5,5,10,1,22,,,,,,
21,1,TL3,1,1,1,1,1,21.39452055,F,ITALIAN,5,N,N,0,4,8,3,5,7,3,,68,12,80,6,3,4,11,2,23,4,4,10,4,26,5,6,12,6,36,9,10,6,0,0,0
105,1,TL3,1,1,1,1,1,20.22191781,F,BRITISH,5,y,N,0,7,8,4,6,6,6,,65,6,71,4,3,4,10,7,32,4,5,7,7,31,5,5,9,5,29,8,13,11,0,0,0
107,1,TL3,1,1,1,1,1,21.2109589,F,BRITISH,5,y,N,0,6,8,2,6,7,5,,60,9,69,4,3,3,11,8,33,4,6,11,6,35,5,6,11,8,39,8,10,13,0,0,0
212,1,TL3,1,1,1,1,1,19.35890411,F,AMERICAN,15,N,Y,10,9,6,1,11,5,5,,68,14,82,6,3,7,6,5,30,4,6,13,5,35,5,9,10,9,46,,11,,0,0,0
134,1,TL3,1,1,1,1,0,19.85479452,M,BRITISH,11,y,N,0,8,7,1,10,10,1,,66,8,74,5,3,3,12,5,28,4,6,15,5,37,5,7,11,7,39,,,,,,
217,1,TL3,1,1,1,1,0,22.26575342,F,BRITISH,0,N,Y,2,2,6,2,5,5,2,,69,13,82,6,3,5,18,10,48,4,4,14,7,36,5,5,16,11,48,,,,,,
133,1,TL3,1,1,1,1,0,20.26575342,F,HUNGARIAN,11,y,N,0,6,9,8,6,10,6,,65,16,81,6,3,5,7,4,25,4,4,11,2,23,5,8,7,3,29,,,,,,
157,1,TL3,1,1,1,1,0,20.01643836,F,BRITISH,2,N,Y,2,7,1,1,3,1,1,,71,20,91,7,3,7,12,10,46,4,6,18,11,52,5,7,17,16,63,,,,,,
75,2,COV,1,1,0,1,0,19.13972603,F,BRITISH,15,N,N,0,0,4,2,3,0,0,,57,7,64,3,3,2,2,1,8,,,,,,5,2,5,3,15,,,,,,
37,2,COV,1,1,0,1,0,18.44383562,F,BRITSH,7,N,N,0,3,6,0,6,4,0,,61,4,65,3,3,2,10,4,22,,,,,,5,4,10,7,32,,,,,,
183,1,TL3,1,1,0,1,0,22.93972603,F,IRISH,7,N,Y,3,6,3,1,3,3,2,,69,14,83,6,3,3,18,4,32,,,,,,5,7,8,4,30,,,,,,
20,1,TL1,1,1,1,0,1,20.63835616,F,FINNISH,5,N,N,0,7,8,6,6,4,2,,59,3,62,3,1,3,9,6,27,2,5,4,5,24,,,,,,8,10,7,0,0,0
65,1,TL1,1,1,1,0,1,19.8739726,F,BRITISH,13,N,N,0,7,6,2,5,5,4,,62,12,74,5,1,5,12,5,32,2,9,7,6,37,,,,,,5,12,11,0,0,0
23,1,TL1,1,1,1,0,1,20.02739726,M,BRITISH,5,N,N,0,4,7,2,6,4,7,,69,6,75,5,1,5,13,5,33,2,8,9,7,39,,,,,,8,7,12,0,0,0
6,2,TL3,1,1,1,0,1,18.91506849,M,IRISH,2,N,N,0,8,2,7,8,6,1,,59,5,64,3,1,6,15,7,41,2,5,13,5,33,,,,,,7,8,9,0,0,0
16,2,TL3,1,1,1,0,1,10.90684932,M,ITALIAN,4,N,N,0,7,4,2,3,4,1,,68,11,79,6,1,5,7,0,17,2,4,9,4,25,,,,,,6,10,9,0,0,0
76,2,TL3,1,1,1,0,1,19.04931507,F,BRITISH,15,N,N,0,9,4,1,5,5,6,,61,4,65,3,1,4,8,5,26,2,4,7,5,25,,,,,,8,9,11,0,0,0
48,2,TL3,1,1,1,0,0,18.95890411,F,BRITISH,10,N,N,0,8,6,1,6,8,5,,68,6,74,5,1,6,11,7,37,2,9,6,8,40,,,,,,,,,,,
108,2,TL3,1,1,1,0,0,18.8739726,F,BRITISH,5,y,N,0,7,8,1,10,9,1,,57,4,61,3,1,5,12,8,38,2,8,14,4,38,,,,,,,,,,,
218,2,TL3,1,1,1,0,0,18.95616438,F,BRITISH,4,y,Y,2,7,9,5,9,9,5,,59,5,64,3,1,4,7,5,25,2,4,5,2,17,,,,,,,,,,,
2,2,TL3,1,1,1,0,0,20.4630137,F,FRENCH,0,N,N,0,6,6,2,6,5,5,,60,10,70,4,1,6,6,2,22,2,6,5,2,21,,,,,,,,,,,
35,2,TL3,1,1,1,0,1,18.20821918,F,NEW ZEALAND,7,N,N,0,9,7,4,10,10,2,,59,6,65,3,1,5,16,9,44,2,3,12,12,42,,,,,,,11,10,0,0,0
172,2,TL3,1,1,1,0,0,20.61643836,F,BRITISH,5,N,Y,1,9,7,7,7,4,6,,63,11,74,5,1,7,10,7,38,2,9,8,11,48,,,,,,,,,,,
