Demo,Cohort,GROUP,atta,cab1,cab2,cab3,SCIALL,age,sex,NATIONALITY,YEARS EXPERIENCE,CAT,VOCATIONAL,YEARS VOCATIONAL,CLASSICAL,CONTEMPORARY,SOMATIC,IMPRO,TASKING,INVENTION,,ATTATOT,ATTAIND,ATTAC,ATTAL,Cab1No,Cab1Fs,Cab1Fi,Cab1o,Cab1Tot,Cab2No,Cab2Fs,Cab2Fi,Cab2o,Cab2Tot,Cab3No,Cab3Fs,Cab3Fi,Cab3o,Cab3Tot,SCIVall,SCISall,SCIMall,SCIVten,SCISten,SCIMten
178,2,TL1,1,1,1,0,1,20.21369863,F,HUNGARIAN,6,N,Y,1,9,9,6,9,3,3,,52,7,59,2,4,3,4,0,10,5,5,3,0,13,,,,,,,14,9,0,0,0
98,2,TL1,1,1,1,0,1,18.37534247,M,BRITISH,4,y,N,0,7,9,1,10,8,1,,60,16,76,5,4,2,7,1,13,5,4,6,7,28,,,,,,5,10,14,0,0,0
122,2,TL1,1,1,1,0,1,18.53972603,F,BRITISH,7,y,N,0,5,6,1,5,3,1,,64,11,75,5,4,6,11,7,37,5,8,8,8,40,,,,,,7,14,12,0,0,0
41,2,TL1,1,1,1,0,1,18.77534247,F,BRITISH,8,N,N,0,8,7,2,6,8,1,,61,11,72,4,4,5,8,7,32,5,6,8,3,26,,,,,,7,10,13,0,0,0
165,2,TL1,1,1,1,0,1,23.76986301,M,GERMAN,3,N,Y,1,3,4,7,9,9,8,,49,4,53,2,4,4,8,7,30,5,5,6,8,32,,,,,,1,8,9,0,0,0
89,2,TL1,1,1,1,0,0,19.2630137,F,BRITISH,1,y,N,0,1,5,9,8,7,1,,51,7,58,2,4,7,6,4,28,5,6,14,8,42,,,,,,,,,,,
74,1,TL4,1,1,1,0,0,20.16438356,F,BRITISH,15,N,N,0,8,3,3,6,2,3,,67,14,81,6,4,5,6,3,22,5,7,8,5,32,,,,,,,,,,,
117,1,TL4,1,1,1,0,0,19.98082192,F,BRITISH,6,y,N,0,6,6,1,6,1,1,,64,8,72,4,4,5,5,5,25,5,6,7,7,33,,,,,,,,,,,
95,1,TL4,1,1,1,0,0,19.39452055,F,BRITISH,4,y,N,0,3,7,1,5,5,2,,68,10,78,6,4,6,7,4,27,5,5,10,5,30,,,,,,,,,,,
9,1,TL4,1,1,1,0,1,20.63561644,M,BRITISH,3,N,N,0,3,5,7,7,7,6,,69,10,79,6,4,2,4,6,20,5,8,8,8,40,,,,,,,8,12,0,0,0
186,1,TL4,1,1,1,0,0,21.55068493,F,BRITISH,8,N,Y,3,8,4,2,7,5,3,,60,10,70,4,4,5,14,5,34,5,7,11,9,43,,,,,,,,,,,
209,2,TL1,1,1,0,0,0,18.39726027,F,BRITISH,15,N,Y,1,10,6,4,4,5,5,,61,10,71,4,4,4,8,4,24,,,,,,,,,,,,,,,,
99,2,TL1,1,1,0,0,1,18.68767123,M,BRITISH,4,y,N,0,4,8,1,4,9,7,,65,13,78,6,4,4,8,4,24,,,,,,,,,,,9,10,12,0,0,0
232,1,TL4,1,1,0,0,1,22.94246575,F,FINNISH,17,y,Y,1,6,1,2,10,10,1,,43,0,43,1,4,3,12,4,26,,,,,,,,,,,8,12,13,0,0,0
152,1,COV,0,1,1,0,0,20.07945205,F,BRITISH,9,N,N,0,8,8,5,10,8,6,,,,,,5,5,7,3,23,1,5,8,4,26,,,,,,,,,,,
156,1,COV,1,1,1,0,1,20.34520548,F,BRITISH,16,N,N,0,9,7,3,6,3,5,4,54,4,58,2,5,3,5,5,21,1,4,6,5,24,,,,,,8,13,15,0,0,0
149,1,COV,1,1,1,0,1,20.28767123,F,BRITISH,5,N,N,0,8,6,7,9,9,9,,65,11,76,5,5,4,9,7,31,1,6,7,8,35,,,,,,8,10,8,0,0,0
147,1,COV,1,1,1,0,1,19.61643836,F,BRITISH,4,N,N,0,2,5,4,9,9,7,,52,6,58,2,5,3,6,1,14,1,3,8,3,20,,,,,,8,9,9,0,0,0
46,2,TL2,1,1,1,0,1,19.59178082,F,BRITISH,10,N,N,0,8,7,2,5,1,1,,68,9,77,5,5,4,4,5,22,1,5,9,9,37,,,,,,8,11,13,0,0,0
125,2,TL2,1,1,1,0,1,18.57808219,F,BRITISH,9,y,N,0,8,6,5,6,6,6,,70,9,79,6,5,3,10,8,32,1,7,14,13,54,,,,,,4,7,6,0,0,0
25,2,TL2,1,1,1,0,1,18.7369863,F,BRITISH,6,N,N,0,1,8,10,11,10,9,,69,15,84,6,5,4,9,3,23,1,7,11,8,41,,,,,,5,5,4,0,0,0
163,2,TL2,1,1,1,0,0,19.98356164,M,BRITISH,3,N,Y,3,5,5,1,4,1,1,,58,7,65,3,5,3,5,5,21,1,5,9,6,31,,,,,,,,,,,
15,2,TL2,1,1,1,0,1,19.2109589,M,BRITISH,4,N,N,0,7,7,7,6,10,7,,60,6,66,3,5,3,4,4,18,1,3,6,6,24,,,,,,7,10,14,0,0,0
106,2,TL2,1,1,1,0,1,18.54246575,F,BRITISH,5,y,N,0,7,6,2,3,3,4,,58,9,67,3,5,5,9,5,29,1,3,10,4,24,,,,,,6,12,13,0,0,0
7,2,TL2,1,1,1,0,0,21.77808219,M,ITALIAN,2,N,N,0,3,1,6,8,7,3,,56,14,70,4,5,4,8,4,24,1,3,11,6,29,,,,,,,,,,,
5,2,TL2,1,1,1,0,1,19.78082192,F,BRITISH,2,N,N,0,5,3,1,2,2,3,,69,11,80,6,5,4,6,2,18,5,6,12,4,32,,,,,,11,11,14,0,0,0
3,1,COV,1,1,0,0,1,20.33424658,F,0,15,0,0,0,5,4,1,6,3,6,,60,8,68,4,5,4,7,5,25,,,,,,,,,,,3,,8,0,0,0
145,1,COV,1,1,0,0,0,19.48493151,F,BRITISH,2,N,N,0,1,5,3,9,4,3,,67,12,79,6,5,0,3,4,11,,,,,,,,,,,,,,,,
148,1,COV,1,1,0,0,1,20.2109589,M,JAMAICAN,4,N,N,0,5,8,4,11,10,7,,64,6,70,4,5,4,7,4,23,,,,,,,,,,,3,,,0,0,0
153,1,COV,1,1,0,0,0,20.10136986,F,BRITISH,9,N,N,0,5,9,2,7,9,8,,66,14,80,6,5,2,6,3,16,,,,,,,,,,,,,,,,
